INFO 2023-05-23 09:12:32,662 autoreload 11552 8656 Watching for file changes with StatReloader
DEBUG 2023-05-23 09:12:32,667 autoreload 11552 8656 Waiting for apps ready_event.
DEBUG 2023-05-23 09:12:36,564 autoreload 11552 8656 Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2023-05-23 09:12:36,648 autoreload 11552 8656 Watching dir D:\My Drive\Eff Corp Website\efficient_apps\templates with glob **/*.
DEBUG 2023-05-23 09:12:36,648 autoreload 11552 8656 Watching dir D:\My Drive\Eff Corp Website\efficient_apps\locale with glob **/*.mo.
DEBUG 2023-05-23 09:12:36,648 autoreload 11552 8656 Watching dir D:\My Drive\Eff Corp Website\efficient_apps\core\locale with glob **/*.mo.
DEBUG 2023-05-23 09:12:36,648 autoreload 11552 8656 Watching dir D:\My Drive\Eff Corp Website\efficient_apps\gst\locale with glob **/*.mo.
DEBUG 2023-05-23 09:12:37,914 autoreload 11552 8656 File C:\Users\Dell\AppData\Local\Programs\Python\Python39\Lib\wsgiref\handlers.py first seen with mtime 1620043496.0
DEBUG 2023-05-23 09:12:37,914 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\django\forms\utils.py first seen with mtime 1684602872.525
DEBUG 2023-05-23 09:12:37,924 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\django\middleware\csrf.py first seen with mtime 1684602874.561
DEBUG 2023-05-23 09:12:37,924 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\openpyxl\workbook\workbook.py first seen with mtime 1684602803.232
DEBUG 2023-05-23 09:12:37,924 autoreload 11552 8656 File C:\Users\Dell\AppData\Local\Programs\Python\Python39\Lib\asyncio\format_helpers.py first seen with mtime 1620043494.0
DEBUG 2023-05-23 09:12:37,924 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\PIL\Image.py first seen with mtime 1684602675.725
DEBUG 2023-05-23 09:12:37,929 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\openpyxl\utils\__init__.py first seen with mtime 1684602802.934
DEBUG 2023-05-23 09:12:37,929 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\django\contrib\admin\utils.py first seen with mtime 1684602816.352
DEBUG 2023-05-23 09:12:37,929 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1684602825.688
DEBUG 2023-05-23 09:12:37,929 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\sqlparse\filters\reindent.py first seen with mtime 1684602653.412
DEBUG 2023-05-23 09:12:37,934 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1684602829.615
DEBUG 2023-05-23 09:12:37,934 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\django\urls\base.py first seen with mtime 1684602875.177
DEBUG 2023-05-23 09:12:37,934 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\pandas\io\excel\_util.py first seen with mtime 1684602729.035
DEBUG 2023-05-23 09:12:37,934 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\numpy\polynomial\__init__.py first seen with mtime 1684602688.698
DEBUG 2023-05-23 09:12:37,934 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\pandas\core\array_algos\transforms.py first seen with mtime 1684602726.86
DEBUG 2023-05-23 09:12:37,934 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\django\template\loaders\filesystem.py first seen with mtime 1684602874.973
DEBUG 2023-05-23 09:12:37,934 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\pandas\core\shared_docs.py first seen with mtime 1684602726.615
DEBUG 2023-05-23 09:12:37,934 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\pandas\core\arrays\__init__.py first seen with mtime 1684602726.878
DEBUG 2023-05-23 09:12:37,934 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\effapps\lib\site-packages\pandas\core\groupby\__init__.py first seen with mtime 1684602727.527
DEBUG 2023-05-23 09:12:37,934 autoreload 11552 8656 File C:\Users\Dell\AppData\Local\Programs\Python\Python39\Lib\concurrent\futures\_base.py first seen with mtime 1620043494.0
DEBUG 2023-05-23 09:12:37,934 autoreload 11552 8656 File D:\My Drive\Eff Corp Website\efficient_apps\utilities\gstr2b_to_excel.py first seen with mtime 1684244919.751
